Color,Breed_Group,Sex upon Intake,Intake Type,Location_Group,Age_Days,Name,Animal ID
Other,Mixed,Neutered Male,Stray,Austin Area,730,*Brock,A786884
White,Other,Spayed Female,Stray,Austin Area,2920,Belle,A706918
White,Mixed,Intact Male,Stray,Austin Area,330,Runster,A724273
Other,Mixed,Intact Female,Stray,Austin Area,28,,A665644
Tan,Other,Neutered Male,Stray,Austin Area,1460,Rio,A682524
Brown,Mixed,Neutered Male,Owner Surrender,Austin Area,730,Odin,A743852
Black,Mixed,Neutered Male,Public Assist,Austin Area,2190,Beowulf,A635072
Black,Mixed,Intact Male,Public Assist,Austin Area,730,Mumble,A708452
Tan,Domestic,Intact Male,Stray,Other,28,,A818975
Black,Mixed,Intact Female,Stray,Austin Area,28,,A774147
Tan,Mixed,Neutered Male,Owner Surrender,Austin Area,150,*Casey,A731435
White,Chihuahua,Intact Male,Stray,Austin Area,730,,A760053
White,Pit Bull,Intact Female,Stray,Manor,150,*Candy Cane,A707375
Other,Chihuahua,Intact Female,Stray,Austin Area,730,*Pearl,A696408
White,Mixed,Intact Female,Public Assist,Austin Area,1460,Ziggy,A790209
Black,Mixed,Intact Female,Stray,Austin Area,730,,A743114
White,Mixed,Neutered Male,Owner Surrender,Austin Area,5110,Tommy,A657188
Brown,Mixed,Intact Female,Stray,Austin Area,30,Tulip,A783861
Black,Mixed,Intact Female,Stray,Austin Area,28,*Mint,A707658
Other,Mixed,Intact Female,Stray,Austin Area,30,*Twilight,A736287
White,Labrador,Intact Female,Stray,Austin Area,60,,A697950
Black,Mixed,Spayed Female,Stray,Austin Area,6570,Stumpy,A298074
Black,Mixed,Spayed Female,Owner Surrender,Austin Area,730,Rheia,A754715
Brown,Other,Unknown,Wildlife,Other,730,,A810994
Black,Mixed,Intact Female,Stray,Austin Area,150,,A769764
Gray,Mixed,Intact Female,Stray,Austin Area,730,*Cleopatra,A707974
White,Mixed,Intact Female,Stray,Austin Area,150,,A682230
White,Mixed,Intact Male,Stray,Austin Area,120,,A749436
Brown,Mixed,Unknown,Wildlife,Austin Area,365,,A722979
Black,Domestic,Unknown,Stray,Austin Area,180,,A803723
Black,Mixed,Spayed Female,Owner Surrender,Austin Area,730,Roo,A696205
Black,Mixed,Intact Female,Stray,Austin Area,30,Dieve,A759935
White,Mixed,Intact Male,Stray,Austin Area,365,*Romeo,A666877
White,Mixed,Spayed Female,Owner Surrender,Other,1095,Pearl,A794334
Black,Mixed,Unknown,Stray,Austin Area,4,,A706507
Black,Mixed,Intact Female,Stray,Austin Area,60,*Raven,A732903
Black,Mixed,Intact Female,Stray,Austin Area,30,Sixlet,A789526
Gray,Mixed,Intact Female,Stray,Austin Area,1,*Pepper,A749400
Black,Mixed,Intact Female,Stray,Austin Area,730,,A727838
Brown,Domestic,Intact Male,Stray,Austin Area,28,*Dim Sum,A821389
White,Mixed,Intact Male,Stray,Other,1825,*Wallace,A769816
Gray,Mixed,Unknown,Stray,Austin Area,14,,A701811
Tan,Labrador,Intact Male,Owner Surrender,Other,30,,A812244
Black,Mixed,Spayed Female,Stray,Austin Area,1095,Calseta,A700396
Black,Mixed,Intact Male,Owner Surrender,Austin Area,1460,Boxer,A724378
Brown,Mixed,Spayed Female,Stray,Austin Area,730,Pepper,A702701
Brown,Mixed,Unknown,Stray,Austin Area,120,,A759995
White,Mixed,Unknown,Euthanasia Request,Austin Area,730,Henry,A702931
Tan,Mixed,Intact Male,Stray,Austin Area,365,*Magic,A745133
Other,Mixed,Intact Female,Stray,Austin Area,730,Annie,A747817
White,Pit Bull,Neutered Male,Stray,Austin Area,365,Lamar,A772747
Black,Mixed,Neutered Male,Owner Surrender,Austin Area,5475,Travis,A736501
Other,Mixed,Spayed Female,Stray,Other,2920,Talesin,A755102
Black,Mixed,Intact Female,Stray,Austin Area,365,,A699608
Black,Terrier,Spayed Female,Stray,Manor,2555,,A810820
Brown,Mixed,Intact Male,Stray,Austin Area,14,*Dillon,A714578
Brown,Mixed,Intact Male,Stray,Austin Area,14,,A793043
Brown,Chihuahua,Intact Male,Stray,Other,60,,A721791
Black,Mixed,Spayed Female,Stray,Austin Area,730,Petria,A754145
Orange,Mixed,Intact Male,Stray,Other,60,*Alexander,A713887
Brown,Mixed,Intact Male,Stray,Austin Area,30,,A678059
White,Mixed,Intact Female,Owner Surrender,Austin Area,365,Banjo Joey,A758165
Tan,Shepherd,Neutered Male,Stray,Austin Area,1095,Guardian,A675555
White,Mixed,Intact Male,Stray,Pflugerville,2190,,A747964
Black,Mixed,Unknown,Stray,Austin Area,21,,A678830
Black,Other,Unknown,Wildlife,Austin Area,28,,A698165
Black,Shepherd,Intact Female,Stray,Austin Area,365,,A813757
Black,Mixed,Spayed Female,Owner Surrender,Austin Area,365,Severus,A793707
Other,Mixed,Intact Female,Owner Surrender,Austin Area,90,*Tegan,A777099
Black,Shepherd,Spayed Female,Owner Surrender,Austin Area,2555,Jasmine,A760116
Black,Other,Neutered Male,Stray,Other,365,Samson,A800456
Black,Other,Unknown,Wildlife,Austin Area,730,,A779334
Brown,Mixed,Unknown,Stray,Austin Area,21,,A704806
